Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,[bootstrap] /staff/login,50,0,470,466.7524376002257,450.84449999558274,481.5894850034965,416.0,0.5612721619459373,0.0,470,470,470,470,480,480,480,480,480,480,480
POST,[field] core/count,791,0,2,19.405858874639325,1.6157950012711808,470.78425000654534,66.0,8.879325601984728,0.0,2,3,3,3,5,160,330,390,470,470,470
GET,[field] dashboard/live,316,0,5,26.229823354202104,3.9688489923719317,463.94750599574763,231.0,3.547240063498324,0.0,5,5,6,6,12,220,360,420,460,460,460
POST,[field] staff/scan/access,3038,3038,3,19.199807066252344,1.9162050011800602,486.6704009909881,55.0,34.10289655983515,34.10289655983515,3,3,4,4,7,100,330,400,470,490,490
,Aggregated,4195,3038,3,25.10257313398176,1.6157950012711808,486.6704009909881,74.63456495828368,47.09073438726414,34.10289655983515,3,4,4,4,8,210,420,460,480,490,490
