Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,[bootstrap] /auth/token,50,0,22,23.413411620131228,12.89409800665453,53.5546239989344,244.0,0.560733996746139,0.0,22,24,27,29,33,38,54,54,54,54,54
GET,[emit] did/[id],98,0,48,57.258141092684035,9.906143008265644,200.94159300788306,1191.0,1.0990386336224325,0.0,48,53,57,72,88,100,160,200,200,200,200
GET,[emit] identity/[id]/status,827,0,2,10.643878839194928,1.3483590009855106,312.3203720024321,278.0,9.27454030618114,0.0,2,3,4,5,23,66,100,110,310,310,310
POST,[emit] identity/emit,2554,2456,5,32.65584814987151,3.1384229951072484,618.5401010006899,33.412685982772125,28.642292553792778,27.543253920170347,5,7,10,14,120,210,270,310,550,620,620
GET,[emit] passport/[id],98,0,58,71.77802509160793,42.26400099287275,256.0315129958326,1501.0,1.0990386336224325,0.0,59,72,94,98,100,140,190,260,260,260,260
GET,[emit] vc/[id],98,0,49,81.23059376565816,41.97894400567748,359.55444700084627,1076.795918367347,1.0990386336224325,0.0,50,52,77,96,200,300,340,360,360,360,360
EMIT_PIPELINE,[pipeline] full_emission_e2e,98,0,280,345.1326530612245,133,871,0.0,1.0990386336224325,0.0,280,340,440,470,590,690,840,870,870,870,870
,Aggregated,3823,2456,5,38.66213367274071,1.3483590009855106,871,182.2610515302119,42.873721391209784,27.543253920170347,5,8,21,47,120,210,300,390,720,870,870
