Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/.well-known/jwks.json,88,0,1.0108849965035915,2.2228947048213077,1.0108849965035915,67.93930899584666,169.0,0.987818515944831,0.0,1,2,2,2,2,2,5,68,68,68,68
GET,/core/event/CC2026/stats,245,0,6,8.644831922126231,5.2926339994883165,131.48576900130138,279.0,2.7501765500736775,0.0,6,7,7,7,8,9,12,130,130,130,130
GET,/identity/[id]/status,681,0,2,3.497285520045563,1.22842300334014,83.12507699884009,280.8678414096916,7.644368288163977,0.0,2,2,2,2,3,3,54,72,83,83,83
GET,/notary/blocks,674,0,2,3.7592455166509824,1.6097299958346412,86.3988940109266,5804.0,7.5657918153047286,0.0,2,3,3,3,3,4,9,74,86,86,86
GET,/notary/chain/status,418,0,6,8.235645899221883,4.877179002505727,93.21060399815906,637.0,4.692137950737948,0.0,6,6,7,7,8,9,82,89,93,93,93
GET,/passport/[id],355,0,3,4.013626892931274,2.1801059920107946,87.17625300050713,1502.1605633802817,3.9849496950047163,0.0,3,3,3,3,4,4,5,74,87,87,87
GET,/passport/key,397,0,1,2.480497964552571,0.9215390018653125,64.36623200715985,255.0,4.456408532160204,0.0,1,2,2,2,2,2,44,50,64,64,64
GET,/pulse,940,0,6,9.30385109674349,4.344951012171805,132.5436909974087,236.0,10.55169778395615,0.0,6,6,7,7,8,11,100,120,130,130,130
GET,/spec,132,0,1,1.9372097121959087,0.9018099954118952,78.68783599406015,189.0,1.4817277739172465,0.0,1,1,2,2,2,2,3,3,79,79,79
GET,[bootstrap] blocks,100,0,24,23.874210099311313,8.911205994081683,41.13471100572497,11602.0,1.122521040846399,0.0,24,25,26,27,28,30,31,41,41,41,41
,Aggregated,4030,0,3,6.071917970221237,0.9018099954118952,132.5436909974087,1611.4516129032259,45.23759794610988,0.0,3,6,6,6,7,12,48,86,130,130,130
