Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,[bootstrap] /staff/login,100,0,13000,14030.075732700061,2393.175227000029,20680.45612500282,416.0,1.1217770450578064,0.0,13000,20000,20000,21000,21000,21000,21000,21000,21000,21000,21000
POST,[field] core/count,1299,0,2,105.96619405886058,1.5318420046241954,18166.68011000729,66.0,14.571883815300906,0.0,2,3,4,4,7,10,23,2400,18000,18000,18000
GET,[field] dashboard/live,524,0,5,118.46298431730581,3.807401008089073,16814.253992997692,231.0,5.8781117161029055,0.0,5,6,8,9,11,17,46,190,17000,17000,17000
POST,[field] staff/scan/access,5409,5409,3,109.10365758417521,1.9355600088601932,18323.601928990684,55.0,60.67692036717675,60.67692036717675,3,4,5,6,8,13,41,3800,16000,18000,18000
,Aggregated,7332,5409,3,299.08264416360527,1.5318420046241954,20680.45612500282,74.45076377523186,82.24869294363837,60.67692036717675,3,4,5,6,9,16,6300,13000,21000,21000,21000
