Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,[bootstrap] /staff/login,100,0,19000,14374.154539019219,1174.2795949976426,20963.49217100942,416.0,1.1227118100224067,0.0,19000,20000,20000,21000,21000,21000,21000,21000,21000,21000,21000
POST,[field] core/count,1366,1366,1,48.179243295626065,0.998349001747556,12434.007903997554,291.3147877013177,15.336243324906075,15.336243324906075,1,2,2,2,2,3,7,140,11000,12000,12000
GET,[field] dashboard/live,589,0,5,131.43521237337004,3.9118479908211157,18359.61148199567,231.0,6.612772561031975,0.0,5,5,6,6,7,11,220,240,18000,18000,18000
POST,[field] staff/scan/access,5452,5452,2,95.40253909726316,1.4729500107932836,13730.93894199701,265.3728906823184,61.21024788242161,61.21024788242161,2,2,3,3,4,5,13,210,14000,14000,14000
,Aggregated,7507,6818,2,279.84258471958856,0.998349001747556,20963.49217100942,269.4029572399094,84.28197557838206,76.54649120732768,2,3,3,3,5,7,4600,14000,21000,21000,21000
